,lat,lng,title,rating,coordinate
44,35.6916,139.7705,京だしおでん 極 神田駅前店 kyoudashioden kiwami kandaekime,5.0,"(35.6916, 139.7705)"
46,35.6758,139.764,丸亀製麺 JR有楽町駅,4.6,"(35.6758, 139.764)"
47,35.6696,139.7681,タリーズコーヒー 歌舞伎座,,"(35.6696, 139.7681)"
48,35.6493,139.7519,稲香楼【イナコウロウ】,4.5,"(35.6493, 139.7519)"
51,35.6686,139.7382,ジョイフル赤坂南部坂店（宅配専門）,4.7,"(35.6686, 139.7382)"
55,35.6767,139.7621,パティスリー・サダハル・アオキ・パリ　丸の内店 pâtisserie Sadaharu AOKI paris,,"(35.6767, 139.7621)"
56,35.6768,139.7617,マクドナルド 丸の内国際ビルヂング店 McDonald's MARUNOUCHI KOKUSAI BLDG.,4.5,"(35.6768, 139.7617)"
57,35.6933,139.7714,ピザハット 神田店 Pizza Hut KANDA,4.7,"(35.6933, 139.7714)"
58,35.6705,139.7642,スターバックス コーヒー 銀座EXITMELSA店 Starbucks Coffee GINZA EXITMELSA,4.7,"(35.6705, 139.7642)"
59,35.7013,139.7719,カールスジュニア 秋葉原中央通り店 Carl's Jr. Akihabara Restaurant,4.8,"(35.7013, 139.7719)"
60,35.7102,139.774,TGIフライデーズ 上野中央通り店 TGIFridays Ueno Chuo Dori,4.6,"(35.7102, 139.774)"
61,35.6762,139.7781,デニーズ 八丁堀店 Denny's HACCHOBORI,4.6,"(35.6762, 139.7781)"
62,35.6997,139.7629,サブウェイ 御茶ノ水駅前ファミリーマート店 SUBWAY Ochanomizu Ekimae FamilyMart Subway,4.6,"(35.6997, 139.7629)"
63,35.6863,139.7291,ケンタッキーフライドチキン 四谷駅前店 Kentucky Fried Chicken Yotsuya,4.5,"(35.6863, 139.7291)"
67,35.6642,139.7526,【1貫から注文可】寿司旬 虎ノ門 Sushi Shun Toranomon,,"(35.6642, 139.7526)"
71,35.6833,139.7667,いきなり！ステーキ ユニモちはら台,,"(35.6833, 139.7667)"
73,35.6721,139.7679,ローソン Ｈ銀座三丁目,,"(35.6721, 139.7679)"
74,35.6656,139.7713,すき家 築地四丁目店 Sukiya Tsukiji 4 Chome,4.5,"(35.6656, 139.7713)"
78,35.6605,139.7574,ナチュラルローソン コモディオ汐留,4.8,"(35.6605, 139.7574)"
79,35.6759,139.7641,餃子の王将 有楽町国際フォーラム口,4.6,"(35.6759, 139.7641)"
89,35.6759,139.7641,餃子の王将 有楽町国際フォーラム口,4.6,"(35.6759, 139.7641)"
111,35.6758,139.764,丸亀製麺 JR有楽町駅,4.6,"(35.6758, 139.764)"
131,35.6664,139.7401,アークヒルズカフェ ARK HiLLS CAFE,4.6,"(35.6664, 139.7401)"
136,35.6732,139.7377,旬八青果店 赤坂店,4.6,"(35.6732, 139.7377)"
138,35.6681,139.7595,HOOTERS 銀座店 HOOTERS GINZA,,"(35.6681, 139.7595)"
143,35.6765,139.7701,はなまるうどん 京橋店 Hanamaru Udon KYOBASHI,4.5,"(35.6765, 139.7701)"
147,35.6743,139.7687,俺のイタリアン 東京店 Oreno Italian Tokyo,4.7,"(35.6743, 139.7687)"
151,35.6737,139.7377,香港飯店0410 赤坂店 Hongkonghanten 0410 Akasaka,4.6,"(35.6737, 139.7377)"
154,35.6995,139.756,伝説のすた丼屋水道橋店,4.7,"(35.6995, 139.756)"
155,35.6674,139.7502,ルカフェ ラ ブティック ドゥ ジョエル ロブション 虎ノ門ヒルズ店 LE CAFE LA BOUTIQUE de Joel Robuchon Toranomon Hills,4.9,"(35.6674, 139.7502)"
156,35.6568,139.7542,銀だこハイボール酒場 芝大門 Gindaco Hi-Ball Sakaba Shiba Daimon,4.7,"(35.6568, 139.7542)"
158,35.6697,139.7594,江戸前寿司　ひなと丸 銀座店 Hinatomaru Ginzaten,,"(35.6697, 139.7594)"
3,35.6718,139.7604,「親子丼半額」「親子丼が人気の炭火焼き鳥店」　13,4.4,"(35.6718, 139.7604)"
14,35.6692,139.7591,俺のパエリア by俺のスパニッシュ,4.6,"(35.6692, 139.7591)"
22,35.6789,139.7631,北海道スープカレー Suage 丸の内店 Hokkaido Soup Curry Suage Marunouchi,,"(35.6789, 139.7631)"
34,35.6615,139.7514,カレーハウス CoCo壱番屋 港区御成門駅前 Curry House CoCo Ichibanya Minatoku-Onarimon Station,4.6,"(35.6615, 139.7514)"
38,35.6663,139.7567,男のオムライス EGG BOMB 新橋店 EGG BOMB SHIMBASHI,4.6,"(35.6663, 139.7567)"
46,35.6744,139.7638,クリスピー・クリーム・ドーナツ 有楽町イトシア店 Krispy Kreme Doughnuts Yuraku-cho,4.8,"(35.6744, 139.7638)"
65,35.6615,139.7514,カレーハウス CoCo壱番屋 港区御成門駅前 Curry House CoCo Ichibanya Minatoku-Onarimon Station,4.6,"(35.6615, 139.7514)"
69,35.6724,139.7637,ロッテリア 銀座クリスタルビル店 LOTTERIA Ginza Crystal Bldg,4.7,"(35.6724, 139.7637)"
79,35.671,139.7664,"銀座三越 地下2,3階食品フロアー MITSUKOSHI Ginza B2.3F FOOD floor",4.8,"(35.671, 139.7664)"
87,35.6801,139.7686,俺のボロネーゼby俺のイタリアン,4.7,"(35.6801, 139.7686)"
88,35.6951,139.7662,日本橋 金子半之助 神田小川町店 Nihonbashi KANEKOHANNOSUKE Kandaogawacho,,"(35.6951, 139.7662)"
93,35.672,139.7615,オー バカナル 銀座  AUX BACCHANALES GINZA,4.8,"(35.672, 139.7615)"
98,35.6725,139.7677,北京ダック専門店 北京カォヤー店 銀座店 Beijing Duck Restaurant,,"(35.6725, 139.7677)"
105,35.671,139.7691,たこ焼き 銀座ふくよし本店 Takoyaki Ginzafukuyoshi,4.5,"(35.671, 139.7691)"
113,35.7062,139.7723,ラーメン豚山 上野店 RamenBUTAYAMA Ueno,4.5,"(35.7062, 139.7723)"
120,35.6714,139.7356,つけ麺屋やすべえ赤坂店 Tsukemenya Yasubei Akasaka shop,,"(35.6714, 139.7356)"
123,35.6702,139.7656,タコライス専門店 タコブロ 銀座店 Tacos Rice Specialty Restaurant TACOBRO,4.9,"(35.6702, 139.7656)"
129,35.6659,139.7763,ピザーラスタイル銀座 PIZZA-LA STYLE Ginza,4.5,"(35.6659, 139.7763)"
130,35.6706,139.7652,幸せのパンケーキ銀座店 A HappyPancake Ginza,4.6,"(35.6706, 139.7652)"
132,35.6564,139.7544,炭火焼き干物定食 しんぱち食堂 大門店 Charcoal Grilled Meal Sinpachi Syokudo Daimon,,"(35.6564, 139.7544)"
135,35.6678,139.7725,築地すし兆 築地すし兆本店,4.6,"(35.6678, 139.7725)"
139,35.6656,139.7394,アイランド ポキ リパブリック-ISLAND POKE REPUBLIC-,,"(35.6656, 139.7394)"
141,35.6673,139.7402,ウルフギャング・パック 赤坂アークヒルズ店 Wolfgang Puck Akasaka Ark Hills,4.5,"(35.6673, 139.7402)"
7,35.7015,139.7453,熊本直送！海鮮馬とろ丼　金の桜 飯田橋　Kin no sakura iidabashi,4.6,"(35.7015, 139.7453)"
11,35.6904,139.7691,広島お好み焼き Big-Pig神田カープ本店 Big-Pig kanda carp honten,4.8,"(35.6904, 139.7691)"
14,35.6993,139.7638,伝説のすた丼屋 お茶の水店 Densetsu no Sutadonya Ochanomizu,4.6,"(35.6993, 139.7638)"
20,35.7013,139.7534,ThreeStar海南鶏飯 三崎町店,,"(35.7013, 139.7534)"
23,35.6923,139.7814,最強のカオマンガイ　東日本橋店,4.4,"(35.6923, 139.7814)"
29,35.6926,139.739,カマロチキン市ヶ谷店 Gamaro Chicken Ichigayaten,,"(35.6926, 139.739)"
30,35.6892,139.7353,生パスタ専門店デサリータ市ヶ谷,,"(35.6892, 139.7353)"
31,35.6984,139.7563,東大門タッカンマリ 神保町店 TODAIMON DAKANMARI JINBOCHOTEN,,"(35.6984, 139.7563)"
35,35.6977,139.7738,デニーズ 秋葉原中央口店 Denny's AKIHABARACHUUOUGUCHI,4.6,"(35.6977, 139.7738)"
36,35.6986,139.7666,マクドナルド御茶ノ水ソラシティ店 McDonald's OCHANOMIZUSOLACITY,4.8,"(35.6986, 139.7666)"
38,35.6933,139.7713,スターバックス コーヒー 神田駅前店 Starbucks Coffee Kanda Eki-mae,4.8,"(35.6933, 139.7713)"
41,35.7066,139.7751,大戸屋ごはん処 御徒町南口店,4.7,"(35.7066, 139.7751)"
43,35.6982,139.7339,俺のフレンチ&パティスリー 神楽坂,4.7,"(35.6982, 139.7339)"
46,35.6946,139.7674,ドミノ・ピザ 淡路町店 Domino's Pizza Awajicho Store,4.7,"(35.6946, 139.7674)"
47,35.6905,139.7786,カレーハウス CoCo壱番屋 中央区小伝馬町 Curry House CoCo Ichibanya Chuoku-Kodenmacho,4.7,"(35.6905, 139.7786)"
53,35.7068,139.7731,DEAN & DELUCA カフェ パルコヤ上野,4.7,"(35.7068, 139.7731)"
54,35.7032,139.7715,香港式ワッフル Paffle House 末広町 Paffle House Suehirocho,,"(35.7032, 139.7715)"
55,35.7007,139.7707,MALASADA WAGON ロコーノ ～マラサダワゴン～ 外神田3丁目,,"(35.7007, 139.7707)"
65,35.6998,139.7688,ローソン 神田明神店 Lawson Kanda Myojin,4.9,"(35.6998, 139.7688)"
72,35.6986,139.7666,マクドナルド御茶ノ水ソラシティ店 McDonald's OCHANOMIZUSOLACITY,4.8,"(35.6986, 139.7666)"
75,35.7023,139.7715,モスバーガー 秋葉原末広町店 Mos Burger AKIHABARA SUEHIROCHO,4.7,"(35.7023, 139.7715)"
76,35.6946,139.7674,ドミノ・ピザ 淡路町店 Domino's Pizza Awajicho Store,4.7,"(35.6946, 139.7674)"
79,35.6933,139.7713,スターバックス コーヒー 神田駅前店 Starbucks Coffee Kanda Eki-mae,4.8,"(35.6933, 139.7713)"
82,35.6993,139.7638,伝説のすた丼屋 お茶の水店 Densetsu no Sutadonya Ochanomizu,4.6,"(35.6993, 139.7638)"
90,35.6884,139.7124,デニーズ 新宿御苑店 Denny's Shinnjukugyoenn,4.6,"(35.6884, 139.7124)"
95,35.6935,139.7696,クリスピーチキンアンドトマト 神田店 CRISPY CHICKEN n' TOMATO Kanda,4.5,"(35.6935, 139.7696)"
109,35.7083,139.7709,楊銘宇黄燜鶏米飯・御徒町店,,"(35.7083, 139.7709)"
113,35.7017,139.7388,Vegetable Base Tokyo,4.6,"(35.7017, 139.7388)"
116,35.6984,139.7563,東大門タッカンマリ 神保町店 TODAIMON DAKANMARI JINBOCHOTEN,,"(35.6984, 139.7563)"
128,35.6953,139.7665,つじ田 御茶ノ水本店 tsujita ochanomizuhonten,4.9,"(35.6953, 139.7665)"
130,35.6947,139.7657,いきなり！ステーキ 小川町 Ikinari Steak Ogawamachi,,"(35.6947, 139.7657)"
134,35.7036,139.7756,スルターン 秋葉原店 SULTAN Akihabara,,"(35.7036, 139.7756)"
136,35.6984,139.768,淡路坂珈琲 Awajisakacoffee,,"(35.6984, 139.768)"
